sample_id,document_id,title,within_document_chunk_id,source_chunk_index,token_start,token_end,document_token_count,document_character_count,document_characters_per_token,benchmark_prompt_index
275,36,Shackleton ( crater ),5,10,2560,2816,3958,8674,2.191510864072764,74
279,37,American Beauty ( 1999 film ),1,19,4864,5120,33967,73983,2.1780846115347248,75
283,37,American Beauty ( 1999 film ),5,94,24064,24320,33967,73983,2.1780846115347248,76
286,38,Christopher Gore,0,0,0,256,10948,23010,2.101753744976252,77
290,38,Christopher Gore,4,23,5888,6144,10948,23010,2.101753744976252,78
294,39,Nero,0,0,0,256,22439,47787,2.129640358304737,79
297,39,Nero,3,37,9472,9728,22439,47787,2.129640358304737,80
301,39,Nero,7,86,22016,22272,22439,47787,2.129640358304737,81
305,40,Manila,3,46,11776,12032,28118,56883,2.0230101714204425,82
309,40,Manila,7,108,27648,27904,28118,56883,2.0230101714204425,83
312,41,Attalea ( palm ),2,6,1536,1792,5983,12404,2.073207421026241,84
316,41,Attalea ( palm ),6,19,4864,5120,5983,12404,2.073207421026241,85
320,42,The Heart of Ezra Greer,2,2,512,768,2558,5697,2.227130570758405,86
324,42,The Heart of Ezra Greer,6,7,1792,2048,2558,5697,2.227130570758405,87
327,43,Free Derry,1,7,1792,2048,12576,27683,2.2012563613231557,88
331,43,Free Derry,5,34,8704,8960,12576,27683,2.2012563613231557,89
335,44,Come What ( ever ) May,1,3,768,1024,5310,11323,2.132391713747646,90
338,44,Come What ( ever ) May,4,11,2816,3072,5310,11323,2.132391713747646,91
342,45,Chad at the 2008 Summer Olympics,0,0,0,256,2718,5318,1.9565857247976453,92
346,45,Chad at the 2008 Summer Olympics,4,5,1280,1536,2718,5318,1.9565857247976453,93
350,46,View of the World from 9th Avenue,0,0,0,256,3318,6825,2.056962025316456,94
353,46,View of the World from 9th Avenue,3,5,1280,1536,3318,6825,2.056962025316456,95
357,46,View of the World from 9th Avenue,7,11,2816,3072,3318,6825,2.056962025316456,96
361,47,Bintulu,3,27,6912,7168,16403,32163,1.9607998536853013,97
364,47,Bintulu,6,54,13824,14080,16403,32163,1.9607998536853013,98
368,48,Zrinski Battalion,2,3,768,1024,3493,6750,1.932436301173776,99
372,48,Zrinski Battalion,6,10,2560,2816,3493,6750,1.932436301173776,100
376,49,Weevils Wobble But They Don 't Go Down,2,3,768,1024,3546,7786,2.195713479977439,101
379,49,Weevils Wobble But They Don 't Go Down,5,9,2304,2560,3546,7786,2.195713479977439,102
383,50,"Temple Beth Israel ( Eugene , Oregon )",1,4,1024,1280,7186,14300,1.9899805176732532,103
387,50,"Temple Beth Israel ( Eugene , Oregon )",5,19,4864,5120,7186,14300,1.9899805176732532,104
391,51,New York State Route 93,1,3,768,1024,6627,13283,2.0043760374226647,105
394,51,New York State Route 93,4,14,3584,3840,6627,13283,2.0043760374226647,106
398,52,Operation USA,0,0,0,256,2870,5280,1.839721254355401,107
402,52,Operation USA,4,6,1536,1792,2870,5280,1.839721254355401,108
405,52,Operation USA,7,10,2560,2816,2870,5280,1.839721254355401,109
409,53,Typhoon Krosa ( 2013 ),3,4,1024,1280,2617,5290,2.021398547955674,110
413,53,Typhoon Krosa ( 2013 ),7,9,2304,2560,2617,5290,2.021398547955674,111
417,54,Kirby 's Block Ball,3,3,768,1024,2458,5268,2.143205858421481,112
420,54,Kirby 's Block Ball,6,7,1792,2048,2458,5268,2.143205858421481,113
424,55,Hannah Dodd,2,2,512,768,2273,4627,2.0356357237131544,114
428,55,Hannah Dodd,6,6,1536,1792,2273,4627,2.0356357237131544,115
432,56,Commonwealth War Graves Commission,2,20,5120,5376,18057,37806,2.093703272968932,116
435,56,Commonwealth War Graves Commission,5,49,12544,12800,18057,37806,2.093703272968932,117
439,57,Tatwine,1,1,256,512,1184,2484,2.097972972972973,118
443,58,German Type UB I submarine,1,4,1024,1280,7681,14381,1.8722822549147249,119
446,58,German Type UB I submarine,4,17,4352,4608,7681,14381,1.8722822549147249,120
450,59,Military history of Gibraltar during World War II,0,0,0,256,13916,28703,2.06258982466226,121
454,59,Military history of Gibraltar during World War II,4,30,7680,7936,13916,28703,2.06258982466226,122
458,60,Nerva,0,0,0,256,10202,21340,2.0917467163301318,123
461,60,Nerva,3,16,4096,4352,10202,21340,2.0917467163301318,124
465,60,Nerva,7,38,9728,9984,10202,21340,2.0917467163301318,125
469,61,The Hustler ( film ),3,13,3328,3584,8232,17667,2.146137026239067,126
473,61,The Hustler ( film ),7,31,7936,8192,8232,17667,2.146137026239067,127
